word,meaning,goroText
unlock,解錠する,あん(un)パン片手にとっくに(lock)解錠済！
rebuild,再建する,離(re)島すぎてビビる(build)、人間関係も再建だ！
disorder,混乱・障害,弟子(dis)のおなら(order)、混乱を招く。
preview,試写・下見,プリ(pre)ン食べつつビュッフェ(view)で試写会。
postgraduate,大学院の,ポスト(post)がぐらつく(gradu)、大学院。
subculture,下位文化,三郎の(sub)とのカルタ(cult)遊びが湯屋(ure)で流行る。
interview,面接,良いんだ(inter)微妙な(view)で面接で。
translate,翻訳する,精子と卵子(trans)らで(lat)遺伝子翻訳！
export,輸出する,駅(ex)からポー！っと(port)汽車で輸出だ。
include,含む,犬(in)は蔵(clud)に入ってる？
cooperation,協力,ここ(co)のオペラ(oper)歌手は冷笑(ation)しがちだ。
connect,接続する,紺(con)のネクタイ(nect)を首に接続！
compact,小型の,コン(com)ドームをパクっと(pact)丸呑みだ。
illegal,違法の,参る(il)夕暮れ(leg)歩(al)いていこう。
impossible,不可能な,芋(im)は干す(poss)のか？燻る(ible)のか？いや不可能だろう。
irregular,不規則な,イルカ(ir)の心をえぐる(regul)水族館荒ら(ar)し。
befriend,友達になる,びっ(be)くりしたフリ(friend)、ホントは冷静さ！
defrost,解凍する,デッ(de)キで風呂(frost)掃除。
progress,進歩,風呂(pro)の進歩に目もくれず(gress)。
mislead,誤らせる,ミス(mis)続きでリード(lead)役が皆を誤らせる。
nonsense,無意味,農(non)家に扇子(sens)は無意味だろ。
antibiotic,抗生物質,8番地(anti)でバイオ(bio)ハザード！行く(ic)な危険だ。
automatic,自動の,嘔吐(auto)はちょい待て(mat)！いく(ic)らなんでも！
overcome,克服する,お婆(over)の噛む(come)餅、危ねぇよ。
underestimate,過小評価する,あんた(under)のエス字(estim)はええと(ate)こ行っとる。
supervisor,監督者,素晴らしい(super)美人(vis)だ！おらんよ(or)滅多に。
semifinal,準決勝,蝉(semi)を封印(fin)。
multiply,掛ける・増やす,丸(multi)っこくてプリッと(ply)したエビ。
television,テレビ,照れるぜ(tele)。美人(vis)がイオン(ion)水を宣伝
forecast,予報,法(fore)を犯すと(cast)最悪死刑！
abnormal,異常な,アブ(ab)が飲む(norm)水、異常あり(al)！
adventure,冒険,後(ad)で弁当(vent)！嬉しい(ure)な！
afternoon,午後,炙った(after)マシュマロ、ヌーン(noon)と伸びる。
upgrade,改良する,溢れる(up)思いがグラグラと(grade)揺れる。
backward,後方へ,バク宙(back)で会場をワーっと(ward)沸かすぜ！
biology,生物学,バイオリン(bio)片手に、お爺(ology)と学ぶよ生物学。
counteract,中和する,幸運だ(counter)！悪と(act)戦うラッキーマン！
crossroad,交差点,黒酢(cross)と漏斗(road)でエリクサー生成！
download,取り込む,抱くん(down)！？この老婆(load)を！？
ecosystem,生態系,エコ(eco)袋とシステム(system)管理で生態系を守る
enable,可能にする,塩(en)分を炙る(able)とタイムスリップが可能になる。
embrace,抱擁する,М(em)字開脚！ブレず(brace)に耐えろ！
homogeneous,同質の,ホモ(homo)のジーンズ(gene)、王者(ous)の余裕。
hyperactive,過活動の,灰原(hyper)覚悟！悪(act)の言い分(ive)問答無用！
infrastructure,社会基盤,陰部(infra)に痒み。吸っとらんで(struct)売れ(ure)女。
macroscopic,巨視的な,マグロ(macro)がスクープ(scop)！生け(ic)る伝説！
microscope,顕微鏡,マイ黒(micro)魔術、ズコー(scop)失敗！
midnight,真夜中,みっ(mid)ちり真夜中まで働きまくらないと(night)！
monopoly,独占,物(mono)をポリ(poly)袋に詰め全部独占！
neonatal,新生児の,ネオ(neo)ンの灯り、夏(nat)の風情ある(al)景色。
outstanding,傑出した,嘔吐(out)気味のスタン(stand)おじさん、隠語(ing)でセクハラ。
paradox,逆説,腹(para)に激痛！毒(dox)入り饅頭！
perfect,完璧な,婆(per)ちゃん屁こくと(fect)完璧なハーモニー！
pseudonym,偽名,修道(pseudo)院、二枚(nym)目の坊主がイケメンだ。
retrospect,回顧,零度(retro)で保管すべきと(spect)回顧。
synchronize,同期させる,新(syn)人と玄人(chron)が合図(ize)で同期。
tricycle,三輪車,鳥(tri)頭、繰り(cycl)返し同じミス。
ultraviolet,紫外線,売る虎(ultra)の相場、倍を(viol)要求！
uniform,制服,ウニ(uni)を葬(form)る。
viceroy,副王,梅(vice)毒感染、エロい(roy)トラップ。
predict,予言する,プリン(pre)を弾くと(dict)予言が降りる。
reduce,減らす,離(re)婚を考え、抱く(duc)回数を減らす。
attract,引きつける,後(at)で虎食う(tract)引きつける。
import,輸入する,芋(im)をボーッと(port)火で炙る。
inspect,検査する,飲(in)食すべき(spect)ところではない。
describe,描写する,デ(de)ッサンで選りすぐり(scrib)の情景を描写。
benevolent,慈悲深い,便(ben)器から溢れる(vol)愛！慈悲深き遠藤(ent)。
malfunction,故障,丸(mal)い糞(funct)。ライオン(ion)の糞。
provide,提供する,不労(pro)所得、ちょびっと(vid)裕福。
