"word","meaning","goroText"
"unlock","解錠する","あん(un)パン片手にロッカー(lock)を解錠する"
"rebuild","再建する","離(re)島でビル(build)を一から再建する"
"disorder","混乱・障害","弟子(dis)のオーダーメイド(order)服、混乱を招く"
"preview","試写・下見","プリ(pre)ン食べつつビュッフェ(view)で試写会"
"postgraduate","大学院の","ポスト(post)にグラグラ(gradu)の栄(ate)冠、大学院生だ"
"subculture","下位文化","サブ(sub)のカルタ(cult)遊びが湯屋(ure)で流行る"
"interview","面接","インター(inter)ホン越しにビュッフェ(view)で面接する"
"translate","翻訳する","トランス(trans)状態で楽(lat)に翻訳する"
"export","輸出する","駅(ex)前のポート(port)から茶を輸出する"
"include","含む","印(in)にクルーズ(clud)券まで含む"
"cooperation","協力","子(co)がオペラ(oper)歌手とA賞(ation)を狙う協力"
"connect","接続する","紺(con)のネクタイ(nect)で機械を接続する"
"compact","小型の","紺(com)の袋にパクチー(pact)、小型の束だ"
"illegal","違法の","いる(il)か料理は連(leg)日ある(al)が違法だ"
"impossible","不可能な","芋(im)がポッキー(poss)にイブ(ible)の日、不可能だ"
"irregular","不規則な","イル(ir)カがレギュラー(regul)枠を荒(ar)らす不規則さ"
"befriend","友達になる","びっ(be)くりのフレンドリー(friend)さで友になる"
"defrost","解凍する","デッ(de)キでフロスティ(frost)な氷を解凍する"
"progress","進歩","プロ(pro)がグレープ(gress)片手に進歩する"
"mislead","誤らせる","ミス(mis)続きでリード(lead)役が皆を誤らせる"
"nonsense","無意味","農(non)家のセンサー(sens)が無意味な音を出す"
"antibiotic","抗生物質","アンチョビ(anti)とバイオリン(bio)で行(ic)ける抗生物質"
"automatic","自動の","オート(auto)バイに的(mat)を置き(ic)、自動で走る"
"overcome","克服する","オーバー(over)なカムバック(come)で病を克服する"
"underestimate","過小評価する","アンダーシャツ(under)を推(estim)し、栄(ate)冠を過小評価"
"supervisor","監督者","スーパーカー(super)を美(vis)人が追(or)う監督役"
"semifinal","準決勝","セミ(semi)がフィンランド(fin)であるある(al)準決勝"
"multiply","掛ける・増やす","マルチーズ(multi)がプライド(ply)高く数を掛ける"
"television","テレビ","テレ(tele)ビで美(vis)人がイオン(ion)水を宣伝"
"forecast","予報","フォアグラ(fore)をキャスター(cast)が予報付きで紹介"
"abnormal","異常な","アブ(ab)が飲む(norm)水にある(al)異常な色"
"adventure","冒険","アド(ad)バルーンが弁(vent)当と湯屋(ure)を巡る冒険"
"afternoon","午後","アフターケア(after)の後、ぬーん(noon)と午後が過ぎる"
"upgrade","改良する","アップ(up)ル片手にグレー(grade)の服へ改良"
"backward","後方へ","バックパック(back)とワードローブ(ward)を後方へ運ぶ"
"biology","生物学","バイオリン(bio)片手に、折ろう(ology)と学ぶ生物学"
"counteract","中和する","カウンターキッチン(counter)でアクション(act)し毒を中和"
"crossroad","交差点","クロスワード(cross)とロードバイク(road)が交差点に"
"download","取り込む","ダウンジャケット(down)姿でロードバイク(load)に積む"
"ecosystem","生態系","エコ(eco)袋とシステマチック(system)管理で生態系を守る"
"enable","可能にする","円(en)であぶる(able)と可能になる料理"
"embrace","抱擁する","エム(em)字型のブレスレット(brace)で抱擁する"
"homogeneous","同質の","ホモサピエンス(homo)のジーンズ(gene)、味(ous)気なく同質だ"
"hyperactive","過活動の","ハイパーリンク(hyper)を悪(act)用、いーヴ(ive)ほど過活動"
"infrastructure","社会基盤","いんふら(infra)にトラクター(struct)、湯屋(ure)まで社会基盤"
"macroscopic","巨視的な","まくろ(macro)なスコップ(scop)で行(ic)ける巨視的調査"
"microscope","顕微鏡","マイクロホン(micro)とスコップ(scop)で覗く顕微鏡"
"midnight","真夜中","みっ(mid)ちり働きナイター(night)まで真夜中"
"monopoly","独占","モノ(mono)のポリ(poly)袋を一社が独占する"
"neonatal","新生児の","ネオ(neo)ンの灯り、名(nat)前もある(al)新生児"
"outstanding","傑出した","アウト(out)気味のスタンプ(stand)が、言(ing)わずと傑出"
"paradox","逆説","パラ(para)グライダーとドクター(dox)、逆説的な光景"
"perfect","完璧な","パー(per)を出しフェイント(fect)で完璧な勝利"
"pseudonym","偽名","すーど(pseudo)っと偽名を名乗り、ニンマリ(nym)笑う"
"retrospect","回顧","レト(retro)な喫茶でスペクトル(spect)を見て回顧"
"synchronize","同期させる","シン(syn)プルな黒(chron)板で、合図(ize)し同期する"
"tricycle","三輪車","トライアスロン(tri)後にサイクリング(cycl)、三輪車で"
"ultraviolet","紫外線","ウルトラマン(ultra)がバイオリン(viol)を弾く紫外線の下"
"uniform","制服","ユニ(uni)ット式のフォーマット(form)で制服を洗う"
"viceroy","副王","バイス(vice)で挟みロイヤル(roy)な副王が笑う"
"predict","予言する","プリ(pre)ンを軸(dict)に明日を予言する"
"reduce","減らす","離(re)島でデュエット(duc)の回数を減らす"
"attract","引きつける","アト(at)リエのトラクター(tract)が人を引きつける"
"import","輸入する","芋(im)をポート(port)から大量に輸入する"
"inspect","検査する","印(in)にスペクトル(spect)を当てて検査する"
"describe","描写する","出(de)た子がすくっと(scrib)情景を描写する"
"benevolent","慈悲深い","弁(ben)当をボール(vol)に盛り、円(ent)で配る慈悲深さ"
"malfunction","故障","丸(mal)いファン(funct)がイオン(ion)を出さず故障"
"provide","提供する","プロ(pro)がビデオ(vid)を無料で提供する"
"project","計画・投影","プロ(pro)がジェット(ject)機の計画を投影する"
"admit","認める","アド(ad)バイスのミット(mit)を渋々認める"
"preserve","保存する","プリ(pre)ンをサーバー(serv)室で保存する"
"incredible","信じられない","印(in)鑑がクレ(cred)化し、イブ(ible)ほど信じられない"
"conduct","導く・指揮する","紺(con)のダクトテープ(duct)で風を導く"
"military","軍の","ミリ(milit)単位であり(ary)得ぬ軍の規律"
"powerful","強力な","パワーストーン(power)がフル(ful)回転、強力な力だ"
"careless","不注意な","ケア(care)不足でレス(less)ばかり、不注意な人"
"equipment","装備","イクラ(equip)とメントール(ment)を装備する"
"kindness","親切","カインズ(kind)で値(ness)引き、親切な店員だ"
"artist","芸術家","あー(art)っと驚くイースト(ist)菌の芸術家"
"ability","能力","アヒル(abil)が一(ity)芸見せる意外な能力"
"package","包み","パッ(pack)と閉じ、栄(age)光の包みが届く"
"tourism","観光","ツアーガイド(tour)がいずみ(ism)を案内、観光地だ"
"simplify","単純化する","しんぷる(simpl)にファイル(ify)を単純化する"
"quickly","素早く","クイズ(quick)に離(ly)脱、素早く答える"
"friendship","友情","フレンドリー(friend)なしっぷ(ship)交換、友情が芽生える"
