"word","meaning","phonetic","memoryTip","morphemes","goroText","bareLength"
"production","生産","prəˈdʌkʃən","pro(前へ・賛成して)+duct(導く)+ion(名詞化（〜すること）)で、生産、と覚える。","pro:プロ:前へ・賛成して:ラテン語 pro-:proʊ;duct:ダクト:導く:ラテン語 ducere:dʌkt;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","プロ(pro)が打(duct)つ球、以(ion)心伝心の生産ラインだ","18"
"reduction","削減","rɪˈdʌkʃən","re(再び・戻す)+duct(導く)+ion(名詞化（〜すること）)で、削減、と覚える。","re:リ:再び・戻す:ラテン語 re-:riː;duct:ダクト:導く:ラテン語 ducere:dʌkt;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","離(re)島の宅(duct)配便、以(ion)後は値下げで削減","16"
"introduction","導入・紹介","ˌɪntrəˈdʌkʃən","intro(中へ)+duct(導く)+ion(名詞化（〜すること）)で、導入・紹介、と覚える。","intro:イントロ:中へ:ラテン語 intro-:ˈɪntroʊ;duct:ダクト:導く:ラテン語 ducere:dʌkt;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","いん(intro)ちき宅(duct)配便、以(ion)心伝心で自己紹介","17"
"deduction","推論・控除","dɪˈdʌkʃən","de(下へ・離れて・否定)+duct(導く)+ion(名詞化（〜すること）)で、推論・控除、と覚える。","de:ディ:下へ・離れて・否定:ラテン語 de-:dɪ;duct:ダクト:導く:ラテン語 ducere:dʌkt;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","出(de)た宅(duct)配票、以(ion)外と控除が多い","14"
"induction","誘導・帰納法","ɪnˈdʌkʃən","in(中へ)+duct(導く)+ion(名詞化（〜すること）)で、誘導・帰納法、と覚える。","in:イン:中へ:ラテン語 in-:ɪn;duct:ダクト:導く:ラテン語 ducere:dʌkt;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","陰(in)で宅(duct)配員を、以(ion)心伝心で誘導する","16"
"distraction","気晴らし・気を散らすこと","dɪˈstrækʃən","dis(否定・分離)+tract(引く)+ion(名詞化（〜すること）)で、気晴らし・気を散らすこと、と覚える。","dis:ディス:否定・分離:ラテン語 dis-:dɪs;tract:トラクト:引く:ラテン語 trahere:trækt;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","弟子(dis)がトラック(tract)見て、異(ion)様に気晴らし","17"
"attraction","魅力・呼び物","əˈtrækʃən","at(〜へ（ad-の異形）)+tract(引く)+ion(名詞化（〜すること）)で、魅力・呼び物、と覚える。","at:アト:〜へ（ad-の異形）:ラテン語 ad- の異形:æt;tract:トラクト:引く:ラテン語 trahere:trækt;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","アト(at)採りのトラック(tract)が、異(ion)彩な呼び物に","18"
"subtraction","引き算","səbˈtrækʃən","sub(下に・副次的な)+tract(引く)+ion(名詞化（〜すること）)で、引き算、と覚える。","sub:サブ:下に・副次的な:ラテン語 sub-:sʌb;tract:トラクト:引く:ラテン語 trahere:trækt;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","サブ(sub)描くトラック(tract)図、異(ion)論なし引き算","17"
"extract","抽出する","ɪkˈstrækt","ex(外へ)+tract(引く)で、抽出する、と覚える。","ex:エクス:外へ:ラテン語 ex-:ɛks;tract:トラクト:引く:ラテン語 trahere:trækt","駅(ex)前でトラクター(tract)から成分を抽出","15"
"contract","契約する","kənˈtrækt","con(共に)+tract(引く)で、契約する、と覚える。","con:コン:共に:ラテン語 com- の異形:kən;tract:トラクト:引く:ラテン語 trahere:trækt","紺(con)色のトラクター(tract)一台で契約成立","15"
"retract","撤回する","rɪˈtrækt","re(再び・戻す)+tract(引く)で、撤回する、と覚える。","re:リ:再び・戻す:ラテン語 re-:riː;tract:トラクト:引く:ラテン語 trahere:trækt","離(re)婚届をトラック(tract)で撤回しに走った","16"
"description","説明・描写","dɪˈskrɪpʃən","de(下へ・離れて・否定)+scrib(書く)+tion(名詞化（〜すること）)で、説明・描写、と覚える。","de:ディ:下へ・離れて・否定:ラテン語 de-:dɪ;scrib:スクライブ:書く:ラテン語 scribere:skraɪb;tion:ション:名詞化（〜すること）:ラテン語 -tio:ʃən","出(de)た患者がすくっと(scrib)、症(tion)状を説明した","17"
"subscription","定期購読・登録","səbˈskrɪpʃən","sub(下に・副次的な)+scrib(書く)+tion(名詞化（〜すること）)で、定期購読・登録、と覚える。","sub:サブ:下に・副次的な:ラテン語 sub-:sʌb;scrib:スクライブ:書く:ラテン語 scribere:skraɪb;tion:ション:名詞化（〜すること）:ラテン語 -tio:ʃən","サブ(sub)会員がすくっと(scrib)、症(tion)例なしで登録","17"
"inscription","刻銘・碑文","ɪnˈskrɪpʃən","in(中へ)+scrib(書く)+tion(名詞化（〜すること）)で、刻銘・碑文、と覚える。","in:イン:中へ:ラテン語 in-:ɪn;scrib:スクライブ:書く:ラテン語 scribere:skraɪb;tion:ション:名詞化（〜すること）:ラテン語 -tio:ʃən","印(in)にすくっと(scrib)彫る、症(tion)なき碑文","14"
"prescription","処方箋","prɪˈskrɪpʃən","pre(前もって)+scrib(書く)+tion(名詞化（〜すること）)で、処方箋、と覚える。","pre:プリ:前もって:ラテン語 prae-:priː;scrib:スクライブ:書く:ラテン語 scribere:skraɪb;tion:ション:名詞化（〜すること）:ラテン語 -tio:ʃən","プリ(pre)ン科ですくっと(scrib)、症(tion)状書いた処方箋","18"
"transcription","転写","trænˈskrɪpʃən","trans(越えて・移す)+scrib(書く)+tion(名詞化（〜すること）)で、転写、と覚える。","trans:トランス:越えて・移す:ラテン語 trans-:trænz;scrib:スクライブ:書く:ラテン語 scribere:skraɪb;tion:ション:名詞化（〜すること）:ラテン語 -tio:ʃən","トランス(trans)状態ですくっと(scrib)、症(tion)を写す","16"
"inspection","検査","ɪnˈspekʃən","in(中へ)+spect(見る)+ion(名詞化（〜すること）)で、検査、と覚える。","in:イン:中へ:ラテン語 in-:ɪn;spect:スペクト:見る:ラテン語 specere:spɛkt;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","印(in)にスペクトル(spect)当て、異(ion)常検査を行う","17"
"prospect","見込み・展望","ˈprɒspekt","pro(前へ・賛成して)+spect(見る)で、見込み・展望、と覚える。","pro:プロ:前へ・賛成して:ラテン語 pro-:proʊ;spect:スペクト:見る:ラテン語 specere:spɛkt","プロ(pro)がスペクトル(spect)で好機を見通す","15"
"retrospect","回顧","ˈretrəspekt","retro(後ろに・過去に)+spect(見る)で、回顧、と覚える。","retro:レトロ:後ろに・過去に:ラテン語 retro-:ˈretrəʊ;spect:スペクト:見る:ラテン語 specere:spɛkt","レト(retro)な喫茶でスペクトル(spect)を見て回顧","16"
"perspective","視点・観点","pərˈspektɪv","per(〜を通じて・徹底的に)+spect(見る)+ive(〜の傾向がある)で、視点・観点、と覚える。","per:パー:〜を通じて・徹底的に:ラテン語 per-:pər;spect:スペクト:見る:ラテン語 specere:spɛkt;ive:イヴ:〜の傾向がある:ラテン語 -ivus:ɪv","パー(per)のスペクトル(spect)、いーヴ(ive)な視点だ","16"
"spectator","観客","spekˈteɪtər","spect(見る)+ator(〜する人（名詞化）)で、観客、と覚える。","spect:スペクト:見る:ラテン語 specere:spɛkt;ator:エイター:〜する人（名詞化）:ラテン語 -ator:eɪtər","スペクトル(spect)柄のえいっと(ator)応援団","14"
